result_set,workload,run,window,sample_count,bandwidth_mib_s_mean,iops_mean,clat_avg_us_mean,clat_avg_us_max,first_iops_mean,last_iops_mean,iops_last_over_first,first_clat_avg_us_mean,last_clat_avg_us_mean,clat_last_over_first
sustained_rand_write_300s_qd32_repeat3,rand_write,1,last_third,200,135.650947265625,34726.51,472.62939,685.868,31599.38,34726.51,1.0989617517812058,532.274396039604,472.62939,0.8879431239161726
sustained_rand_write_300s_qd32_repeat3,rand_write,1,middle,200,126.14333984375,32292.57,522.4060800000001,853.0,31599.38,34726.51,1.0989617517812058,532.274396039604,472.62939,0.8879431239161726
sustained_rand_write_300s_qd32_repeat3,rand_write,2,first_third,201,148.06001953125,37903.27,439.32672277227726,765.241,37903.27,33861.48484848485,0.8933657926739527,439.32672277227726,490.99296000000004,1.1176032199946637
sustained_rand_write_300s_qd32_repeat3,rand_write,2,last_third,200,132.27204663825756,33861.48484848485,490.99296000000004,1101.051,37903.27,33861.48484848485,0.8933657926739527,439.32672277227726,490.99296000000004,1.1176032199946637
sustained_rand_write_300s_qd32_repeat3,rand_write,2,middle,201,146.95596766707922,37620.653465346535,460.26832,961.055,37903.27,33861.48484848485,0.8933657926739527,439.32672277227726,490.99296000000004,1.1176032199946637
sustained_rand_write_300s_qd32_repeat3,rand_write,3,first_third,201,155.776630859375,39878.67,418.2270099009901,655.614,39878.67,29433.85,0.7380850464671966,418.2270099009901,562.0144399999999,1.3438023530164867
sustained_rand_write_300s_qd32_repeat3,rand_write,3,last_third,200,114.976513671875,29433.85,562.0144399999999,950.814,39878.67,29433.85,0.7380850464671966,418.2270099009901,562.0144399999999,1.3438023530164867
sustained_rand_write_300s_qd32_repeat3,rand_write,3,middle,200,165.028046875,42247.11,409.3334699999999,943.552,39878.67,29433.85,0.7380850464671966,418.2270099009901,562.0144399999999,1.3438023530164867
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,1,first_third,200,146.641142578125,37540.03,452.563,824.7,37540.03,37860.83838383838,1.0085457679133016,452.563,448.4643499999999,0.9909434708537815
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,1,last_third,199,147.8942353219697,37860.83838383838,448.4643499999999,1800.739,37540.03,37860.83838383838,1.0085457679133016,452.563,448.4643499999999,0.9909434708537815
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,1,middle,200,147.692373046875,37809.23,439.53417,738.881,37540.03,37860.83838383838,1.0085457679133016,452.563,448.4643499999999,0.9909434708537815
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,2,first_third,190,150.1317112699468,38433.52127659575,1465.848895833333,72791.233,38433.52127659575,40663.734042553195,1.0580278020821252,1465.848895833333,405.49472631578953,0.27662791674394677
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,2,last_third,189,158.84385388962767,40663.734042553195,405.49472631578953,435.655,38433.52127659575,40663.734042553195,1.0580278020821252,1465.848895833333,405.49472631578953,0.27662791674394677
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,2,middle,190,154.24538445723684,39486.6,441.87907368421054,3349.0,38433.52127659575,40663.734042553195,1.0580278020821252,1465.848895833333,405.49472631578953,0.27662791674394677
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,3,first_third,194,158.11229461984536,40476.68041237113,411.7546288659794,784.168,40476.68041237113,39438.729166666664,0.9743568090285577,411.7546288659794,415.99022680412367,1.0102867038794672
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,3,last_third,193,154.05843098958334,39438.729166666664,415.99022680412367,458.861,40476.68041237113,39438.729166666664,0.9743568090285577,411.7546288659794,415.99022680412367,1.0102867038794672
sustained_rand_write_300s_qd32_trace_repeat3_20260721,rand_write,3,middle,194,152.82090871710525,39122.063157894736,1063.6636868686867,55013.9,40476.68041237113,39438.729166666664,0.9743568090285577,411.7546288659794,415.99022680412367,1.0102867038794672
